[Data]
Tagname,TimeStamp,Value
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:49:34,7.1209e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:49:34,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:50:04,26.1073
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:50:04,1.83656e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:50:04,26.2613
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:50:04,1.06573e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:50:04,26.3991
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:50:04,3.75658e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:50:04,26.4299
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:50:04,2.21493e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:50:04,26.3375
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:50:04,6.83988e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:50:04,26.3478
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:50:04,6.32599e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:50:04,26.3302
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:50:04,7.20694e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:50:04,26.3302
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:50:04,7.20694e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:50:04,26.2891
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:50:04,9.26247e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:50:04,26.1498
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:50:04,1.62366e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch10.F_CV,01/30/2015 12:50:04,26.3932
35T.SSP_Imon_ch10.F_CV,01/30/2015 12:50:04,4.05022e-06
35T.SSP_Vset_ch10.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch11.F_CV,01/30/2015 12:50:04,26.3316
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:50:04,7.13353e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:50:04,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:50:34,26.1096
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:50:34,1.82493e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:50:34,26.2607
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:50:34,1.06877e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:50:34,26.3999
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:50:34,3.7135e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:50:34,26.4307
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:50:34,2.17182e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:50:34,26.3384
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:50:34,6.79685e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:50:34,26.3472
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:50:34,6.35637e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:50:34,26.331
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:50:34,7.16392e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:50:34,26.331
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:50:34,7.16392e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:50:34,26.29
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:50:34,9.21949e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:50:34,26.1492
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:50:34,1.62671e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch10.F_CV,01/30/2015 12:50:34,26.3941
35T.SSP_Imon_ch10.F_CV,01/30/2015 12:50:34,4.00715e-06
35T.SSP_Vset_ch10.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch11.F_CV,01/30/2015 12:50:34,26.3325
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:50:34,7.09051e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:50:34,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:51:04,26.109
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:51:04,1.82799e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:51:04,26.2615
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:51:04,1.06448e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:51:04,26.3993
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:51:04,3.74384e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:51:04,26.4301
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:51:04,2.20214e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:51:04,26.3378
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:51:04,6.82724e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:51:04,26.3466
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:51:04,6.38675e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:51:04,26.3319
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:51:04,7.1209e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:51:04,26.3304
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:51:04,7.19431e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:51:04,26.2894
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:51:04,9.24991e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:51:04,26.1486
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:51:04,1.62977e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch10.F_CV,01/30/2015 12:51:04,26.392
35T.SSP_Imon_ch10.F_CV,01/30/2015 12:51:04,4.11091e-06
35T.SSP_Vset_ch10.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch11.F_CV,01/30/2015 12:51:04,26.3319
35T.SSP_Imon_ch11.F_CV,01/30/2015 12:51:04,7.1209e-06
35T.SSP_Vset_ch11.F_CV,01/30/2015 12:51:04,26.4982
35T.SSP_Vmon_ch0.F_CV,01/30/2015 12:51:34,26.1061
35T.SSP_Imon_ch0.F_CV,01/30/2015 12:51:34,1.84267e-05
35T.SSP_Vset_ch0.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch1.F_CV,01/30/2015 12:51:34,26.2586
35T.SSP_Imon_ch1.F_CV,01/30/2015 12:51:34,1.07916e-05
35T.SSP_Vset_ch1.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch2.F_CV,01/30/2015 12:51:34,26.4008
35T.SSP_Imon_ch2.F_CV,01/30/2015 12:51:34,3.67042e-06
35T.SSP_Vset_ch2.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch3.F_CV,01/30/2015 12:51:34,26.4301
35T.SSP_Imon_ch3.F_CV,01/30/2015 12:51:34,2.20214e-06
35T.SSP_Vset_ch3.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch4.F_CV,01/30/2015 12:51:34,26.3392
35T.SSP_Imon_ch4.F_CV,01/30/2015 12:51:34,6.75383e-06
35T.SSP_Vset_ch4.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch5.F_CV,01/30/2015 12:51:34,26.3466
35T.SSP_Imon_ch5.F_CV,01/30/2015 12:51:34,6.38675e-06
35T.SSP_Vset_ch5.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch6.F_CV,01/30/2015 12:51:34,26.3319
35T.SSP_Imon_ch6.F_CV,01/30/2015 12:51:34,7.1209e-06
35T.SSP_Vset_ch6.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch7.F_CV,01/30/2015 12:51:34,26.3304
35T.SSP_Imon_ch7.F_CV,01/30/2015 12:51:34,7.19431e-06
35T.SSP_Vset_ch7.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch8.F_CV,01/30/2015 12:51:34,26.2894
35T.SSP_Imon_ch8.F_CV,01/30/2015 12:51:34,9.24991e-06
35T.SSP_Vset_ch8.F_CV,01/30/2015 12:51:34,26.4982
35T.SSP_Vmon_ch9.F_CV,01/30/2015 12:51:34,26.1486
35T.SSP_Imon_ch9.F_CV,01/30/2015 12:51:34,1.62977e-05
35T.SSP_Vset_ch9.F_CV,01/30/2015 12:51:34,26.4982
